StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q1,Q2,Q3,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q9_1,Q9_2,Q9_3,Q10_1,Q11_1,Q12_1,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q17_1,Q17_2,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q19_1,Q19_2,Q19_5,Q19_3,Q19_4,Q20_1,Q20_2,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_7,Q21_6,Q21_8,Q21_9,Q22_1,Q22_3,Q22_14,Q22_6,Q22_7,Q22_19,Q22_20,Q22_22,Q22_8,Q22_15,Q22_25,Q22_16,Q22_DO_1,Q22_DO_3,Q22_DO_14,Q22_DO_6,Q22_DO_7,Q22_DO_19,Q22_DO_20,Q22_DO_22,Q22_DO_8,Q22_DO_15,Q22_DO_25,Q22_DO_16,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q25,Q26,Q27,Q28,Q30,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39_1,Q39_2,Q39_3,Q40_1,Q41,Q42,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q44_1,Q44_2,Q44_3,Q44_4,Q45_1,Q46_1,Q47,Q47_14_TEXT,Q48,Q49,Q50,Q51,Q53,Q54_1,Q54_2,Q54_3,Q54_4,Q55,Q55_6_TEXT,Q56_1,Q56_4,Q57_1,Q57_2,Q57_3,Q57_4,Q57_5,Q58,Q59,Q60,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Q61_6,Q61_7,Q61_7_TEXT,Q61_DO_1,Q61_DO_2,Q61_DO_3,Q61_DO_4,Q61_DO_5,Q61_DO_6,Q61_DO_7,Q62,Q63_1,Q63_2,Q63_3,Q63_4,Q63_5,Q63_6,Q64,Q64_DO_1,Q64_DO_2,Q64_DO_3,Q64_DO_4,Q64_DO_5,Q64_DO_6,Q65,FL_50_DO_SocialMedia,FL_50_DO_Time,FL_49_DO_LACMovation_Control,FL_49_DO_LACMotivations_Business,FL_49_DO_LACMotivations_Fulfillment,TheCovids_DO_Q12,TheCovids_DO_Q10,TheCovids_DO_Q11,TwoStateSolution_DO_Q41,TwoStateSolution_DO_Q42
3/16/2021 14:02,3/16/2021 14:12,100,601,1,3/16/2021 14:13,1,1,1,1,2,5,5,5,1,,,,,,,,85,0,,1,,1,,,,1,1,,2,3,4,4,4,2,3,5,2,3,2,1,8,3,5,2,3,4,5,,,1,,1,1,3,2,4,7,3,30,50,4,2,1,6,4,1,1,1,2,0,65,50,90,90,85,20,75,0,60,60,50,2,5,4,12,3,10,6,11,1,9,8,7,2,,1,,,,,1,,,,,,2,1,2,,,1,2,1,1,2,2,5,1,1,1,30,,3,,1,,1,,,,,,,,2,10,6,7,3.9,89,12,,2,1,1,1,1,1,,,,3,,77,18,1,,,1,,4,4,2,,1,,,,,,,4,1,3,2,6,5,7,4,,,1,1,,,6,6,1,3,4,2,5,2,1,2,,,1,2,,1,,1
3/16/2021 14:04,3/16/2021 14:14,100,600,1,3/16/2021 14:14,1,3,7,2,2,5,,,,,,,,,,30,,5,,1,1,,,,,1,,,2,3,2,4,3,3,3,5,4,1,1,2,10,1,5,1,1,3,3,,,,,1,,7,0,1,0,,30,29,3,0,,0,2,,,4,4,54,22,54,31,37,27,36,7,80,,5,,12,8,11,6,9,2,10,5,4,1,7,3,4,,1,,,,,1,,1,1,,,2,2,3,5,,,4,3,3,3,3,3,4,1,4,52,3,,1,,,,,,,,,,,10,10,2,5,2.8,36,5,,2,2,2,5,1,1,,,,1,,77,13,1,,,,,4,4,2,,,,1,,,,,1,5,3,4,6,2,7,1,,1,,,,,2,4,1,2,3,5,6,2,2,1,1,,,2,1,,1,
3/16/2021 14:04,3/16/2021 14:15,100,650,1,3/16/2021 14:15,1,1,1,1,2,5,5,5,5,,,,,,,98,,0,1,1,1,1,,1,1,1,,,2,2,2,2,4,3,4,5,2,4,5,3,7,2,1,1,2,3,5,1,1,,,1,1,4,,1,4,,70,70,9,7,4,9,6,4,10,5,1,0,65,45,89,81,100,50,65,1,50,96,50,8,6,12,10,2,5,3,9,7,11,1,4,3,,,,1,,,,,,1,,,2,2,4,,,4,3,2,2,5,4,2,1,1,1,31,,1,1,,,1,,,,,,,,5,10,10,7,3.7,90,6,,2,2,1,2,2,,1,,,3,,3,73,1,,,,,5,4,2,1,,,,,,,,4,5,1,3,2,6,7,3,,1,,,,,6,1,6,4,3,5,2,2,2,1,,,1,2,1,,,1
3/16/2021 14:06,3/16/2021 14:17,100,628,1,3/16/2021 14:17,1,4,4,1,2,3,,,,,,,,,,,90,0,1,1,,,,,,,,1,2,3,4,4,4,2,3,2,2,4,3,0,7,0,4,1,,2,3,1,1,,,1,1,,,5,,2,70,40,9,0,0,0,0,0,3,0,0,20,50,50,50,79,50,50,50,50,50,60,50,8,4,3,1,11,7,9,2,6,5,10,12,2,,,,,,,,,,1,,,3,3,1,,,2,2,3,2,3,2,3,2,2,2,30,,2,,,,1,,,,,,,1,5,2,10,1,3.5,100,1,,2,4,1,4,1,1,,,,1,,91,8,,,,1,,3,2,1,,,1,,,,,,1,4,3,2,6,5,7,1,1,,,,,,1,1,2,3,6,4,5,2,2,1,,,1,2,,1,,1
3/16/2021 14:04,3/16/2021 14:17,100,756,1,3/16/2021 14:18,1,3,2,2,2,4,4,4,2,,,,,,,,50,10,1,1,,1,,1,,1,,1,2,3,4,5,4,3,2,2,1,3,1,1,6,0,7,1,2,5,6,1,1,1,,,1,1,0,3,1,0,40,60,2,1,0,1,1,0,10,1,2,4,60,25,50,70,55,86,15,50,75,5,10,12,10,3,5,9,7,11,8,1,6,2,4,4,,1,,,,,1,1,,1,,,3,1,3,,3,,2,2,1,5,2,5,2,1,2,40,3,,,1,1,1,1,1,1,,,1,1,6,5,4,10,3.6,30,14,Zoroastrian ,2,2,1,2,2,,1,,,1,,32,71,,,,1,1,4,4,2,,1,,,,,,,3,5,1,4,6,2,7,1,,,,1,1,,2,2,3,5,1,6,4,3,1,2,,1,,2,,1,1,
3/16/2021 14:04,3/16/2021 14:18,100,875,1,3/16/2021 14:18,1,3,1,2,2,4,4,5,2,,,,,,,100,,2,1,1,1,1,,1,1,1,1,1,2,2,3,4,4,3,4,4,2,5,3,2,7,1,2,1,3,3,3,1,,1,1,1,1,5,,2,1,2,80,50,8,3,3,5,1,,2,3,3,0,50,50,62,50,79,15,51,,18,32,51,3,5,4,2,11,6,8,10,1,9,12,7,3,,,,,,,,,,1,,,2,2,3,2,,,2,2,2,4,3,3,2,2,2,31,3,,1,,,1,,,,,,,1,3,5,3,2,3.9,70,9,,2,3,2,3,2,,1,,,3,,22,70,,,,1,,3,3,2,1,,,,,,,,5,3,1,6,2,4,7,2,,1,,,,,2,5,4,6,3,2,1,3,2,1,1,,,2,1,,1,
3/16/2021 14:06,3/16/2021 14:20,100,795,1,3/16/2021 14:21,1,3,2,1,2,3,4,4,1,,,,,,,81,,2,1,1,1,1,,,1,1,,1,2,2,4,2,4,4,2,5,3,7,1,2,6,,1,2,2,1,6,1,,,1,1,1,6,1,1,3,1,50,61,7,5,8,6,4,9,9,5,9,4,56,48,70,60,98,15,20,27,70,19,58,12,6,7,3,1,5,11,8,2,9,4,10,3,1,1,,1,,,1,1,1,1,1,,1,1,4,,,2,2,1,2,4,1,2,3,2,1,40,,1,1,,,1,,,,,,,1,5,5,7,3,3.7,71,13,,2,3,1,3,2,,1,,,1,,83,30,1,,1,,1,3,4,2,1,,,,,,,,3,2,6,4,1,5,7,3,,1,,,,,1,5,2,4,3,1,6,2,2,1,,,1,2,1,,,1
3/16/2021 14:05,3/16/2021 14:20,100,905,1,3/16/2021 14:21,1,3,3,1,2,5,4,5,2,,,,,,,,80,0,,1,,,,,,1,1,1,3,4,2,2,4,4,5,4,3,5,0,0,8,3,0,3,1,2,4,,1,,1,1,1,0,4,0,2,1,50,40,4,2,8,7,2,0,0,2,2,2,46,51,50,64,69,39,20,32,50,74,50,10,12,7,5,4,6,8,11,2,3,1,9,4,,,,,,,,,,1,,,2,2,2,,1,,3,2,2,2,4,2,3,1,1,50,2,,,1,,,,,,,,,1,2,5,3,1,3.1,66,12,,2,5,1,1,1,1,,,,1,,71,35,,,,,1,4,2,2,,,1,,,,,,2,4,1,3,5,6,7,1,,1,,,,,6,2,6,5,3,1,4,2,1,2,,1,,2,,1,1,
3/16/2021 14:05,3/16/2021 14:20,100,879,1,3/16/2021 14:21,1,4,4,1,1,3,,,,,,,,,,80,,0,1,1,,1,,1,,1,,,1,1,4,3,4,3,3,3,1,3,3,1,8,0,0,2,4,2,2,1,1,,,1,,7,7,0,1,0,65,65,5,0,0,5,5,0,10,1,5,1,1,30,1,99,50,1,20,1,29,90,1,10,9,5,11,3,1,4,12,7,8,2,6,1,,,,,,,,,,,,1,3,3,2,2,,,2,2,2,3,2,5,3,3,3,70,,3,,,,,,,,,,,1,1,5,10,0,3.2,70,13,,2,5,1,1,1,1,,,,1,,60,8,,,,1,,4,2,2,,,1,,,,,,2,5,6,3,1,4,7,3,1,,,,,,1,2,5,1,4,6,3,1,1,2,1,,,2,1,,,1
3/16/2021 14:09,3/16/2021 14:22,100,811,1,3/16/2021 14:22,1,1,8,1,2,5,,,,,,,,,,,80,0,1,,1,1,,1,,1,1,1,2,4,3,2,4,2,2,5,2,3,3,0,9,1,1,0,4,2,2,1,1,1,,1,1,,1,7,7,,73,60,9,6,2,6,3,0,5,3,3,0,50,25,25,50,100,5,50,1,50,80,50,3,12,11,4,8,2,10,9,6,7,5,1,1,,,,1,,1,,,,1,,,2,2,3,,,1,3,2,1,1,2,2,1,1,1,20,,1,,,,1,,,1,1,,1,1,4,4,3,2,3.9,90,11,,2,1,1,1,1,1,,,,2,,80,18,1,,,,,1,1,1,1,,,,,,1,anarchist-communist and feminist,3,4,2,5,1,6,7,2,1,,1,,1,,6,6,4,2,3,1,5,1,2,1,,,1,2,,1,,1
